author,title,user_profile_link,likes,comments,collect,hot_score,collection_score,related_score,minority
游苏（射手教学）,运营节奏！2200分马可教学！对线国50守约！从逆风六分钟投降到拿到节奏 一波二打五带飞队友！,https://www.douyin.com/user/MS4wLjABAAAAYIsHZvF0rgXnAsQcjBj52QXrAGrHV_yOPv5oczpJ66XgHteI_Zpyr4lxmE8L8RNO,46383,1369,1333,0.003482818603515625,0.006984710693359375,0.0007014274597167969,0
惊心动魄,丧彪开车确实快，当然建议中午坐因为早晚要出事#速度与激情 #狂飙 #第一视角  #这车技没谁了 #开车第一视角,https://www.douyin.com/user/MS4wLjABAAAA-CRz7V5P8wpdIoClYXZA2Pn_h8vQAjP6_W1FywZB9K4,12018,994,2496,0.0012845993041992188,0.00133514404296875,0.0004305839538574219,0
大表哥小飞哥（精品甲鱼）,花1000元包下荒废的甲鱼塘，最后竟然发现20斤重的大甲鱼？#抖音新农人 #真实户外 #户外抓鱼 #甲鱼 #小飞哥,https://www.douyin.com/user/MS4wLjABAAAA2LJEq8K_HbwGSI6sHnxZCS7BIyQKxKsIlbMtLAQYP24,27797,518,9734,0.00254058837890625,0.01090240478515625,0.0008864402770996094,0
战史解密,三个小孩停车场玩耍，女司机开车打电话，竟从孩子身上碾压过去 #交通安全 #警事 #汽车安全 ,https://www.douyin.com/user/MS4wLjABAAAAr0OGoPXF90KLv__yZkcSo9KIHNu8D9fgponQ6hDENyX01gbap6ykt-A86W9CSeh-,2380,571,695,0.00260162353515625,0.0024433135986328125,0.0007948875427246094,0
杆哥（国服芈月）,边惩芈月对线吕布全程教学 #芈月教学 #边惩芈月,https://www.douyin.com/user/MS4wLjABAAAAkkq051E4yD7pUewXK7Tcm228qPqYl3Jwp0fvFBaKj04,28357,1981,1480,0.0025501251220703125,0.0025615692138671875,0.0006589889526367188,0
柯冉,左右手都得会#zooparty,https://www.douyin.com/user/MS4wLjABAAAAHaDVlm-fv1zflVhSAbPbZllT2xv5Ms_r8DcX9erSByc,387821,8794,15992,0.0018243789672851562,0.011505126953125,0.0005955696105957031,0
一哥影视（收徒中）,古惑仔之乌鸦名场面#古惑仔 #经典港片,https://www.douyin.com/user/MS4wLjABAAAAOtq3JibSZb1OiB9sHxpRn1Kptnr2wkrDch16nQ-GOnE,105158,137,6353,0.0011510848999023438,0.00498199462890625,0.0004565715789794922,0
南泽（最土鸡刘备）,"我真1700 全局无剪辑
#南泽 #野区陈浩南",https://www.douyin.com/user/MS4wLjABAAAA0RQyTPZ9pRtT-MaLe79hfVfbkAiBEO43b1I6vB5hDp8jXZRGviXwsZXBIQvXv1i0,252150,5324,4988,0.00206756591796875,0.00579833984375,0.0004992485046386719,0
狂飙兄弟,"广东一带餐具费你怎么看？#餐具收费 
#抖音商城双12 #抖音商城双12好物节",https://www.douyin.com/user/MS4wLjABAAAAmh7iSAAqIp_JDTVOnm6SeZrtkicnSeRSjXFur9q1Jp6bWiiL1BtlTDij2V3OJZW_,215706,49948,9377,0.0008168220520019531,0.0004820823669433594,0.0002868175506591797,0
怪雨漫说,男主只是摘下戒指，人族最强的屠龙者直接跪了！ #动漫解说  #动漫推荐 ,https://www.douyin.com/user/MS4wLjABAAAAIpIDDt-rF0zripIkorsGyPPwnqOd8mf9CKH4Q7vgfMs,68935,781,16424,0.0009255409240722656,0.00400543212890625,0.0005297660827636719,0
